Imports of Apples to Israel,,,,,
,,,,,
Year, Month ,Origin_Country,Value - NIS,Quantity - kg,"מחיר יבוא לק""ג"
2022, 12 ,איטליה,5097531.601,1167366.5, 4.37 
2022, 12 ,ארצות הברית,601769.5892,99826, 6.03 
2022, 12 ,הולנד,220943.4761,35152, 6.29 
2022, 12 ,הונגריה,48123.7355,16380, 2.94 
2022, 12 ,טורקיה,74598.5638,20736, 3.60 
2022, 12 ,יוון,967906.8082,252687, 3.83 
2022, 12 ,מולדובה,46008.9609,19395, 2.37 
2022, 12 ,ספרד,1040035.257,208810.8, 4.98 
2022, 12 ,צרפת,5669993.331,866661.416, 6.54 
2022, 2 ,איטליה,4183219.911,803777.5, 5.20 
2022, 2 ,ארצות הברית,6291416.985,1142515.6, 5.51 
2022, 2 ,טורקיה,299312.7957,109162, 2.74 
2022, 2 ,יוון,87108.9492,21198.8, 4.11 
2022, 2 ,ספרד,2043950.232,493549, 4.14 
2022, 2 ,צרפת,6395728.843,1006172.8, 6.36 
2022, 3 ,איטליה,5072233.244,956493.5, 5.30 
2022, 3 ,ארצות הברית,8011651.717,1390456, 5.76 
2022, 3 ,טורקיה,933918.4167,291470, 3.20 
2022, 3 ,ספרד,1270769.936,307581.6, 4.13 
2022, 3 ,צרפת,6752438.157,1045270, 6.46 
2022, 4 ,איטליה,3566532.874,661025.5, 5.40 
2022, 4 ,ארגנטינה,548999.6399,106192.8, 5.17 
2022, 4 ,ארצות הברית,9621577.33,1674539, 5.75 
2022, 4 ,הולנד,227517.0236,35152, 6.47 
2022, 4 ,טורקיה,203398.3344,70796, 2.87 
2022, 4 ,יוון,244992.2402,59818, 4.10 
2022, 4 ,ספרד,1168768.795,210707.2, 5.55 
2022, 4 ,צרפת,6242058.118,887608, 7.03 
2022, 5 ,איטליה,2266986.131,441842, 5.13 
2022, 5 ,ארגנטינה,1260555.175,233680, 5.39 
2022, 5 ,ארצות הברית,11030425.94,1789891.5, 6.16 
2022, 5 ,הולנד,113928.0772,17576, 6.48 
2022, 5 ,טורקיה,637638.0581,169164, 3.77 
2022, 5 ,יוון,356802.3461,77407.6, 4.61 
2022, 5 ,ספרד,1331293.722,248331.8, 5.36 
2022, 5 ,צרפת,5451286.865,751125, 7.26 
2022, 6 ,איטליה,789206.4104,170094, 4.64 
2022, 6 ,ארגנטינה,758944.3673,127008, 5.98 
2022, 6 ,ארצות הברית,10866998.51,1903732, 5.71 
2022, 6 ,טורקיה,801595.1048,220444, 3.64 
2022, 6 ,יוון,87409.0082,17295, 5.05 
2022, 6 ,ספרד,2342317.627,446755.6, 5.24 
2022, 6 ,צרפת,1455602.99,236176, 6.16 
2022, 7 ,איטליה,93935.6695,17745, 5.29 
2022, 7 ,ארגנטינה,1969505.454,298896.4, 6.59 
2022, 7 ,ארצות הברית,10546309.56,1896823.501, 5.56 
2022, 7 ,ספרד,1282571.021,311867.2, 4.11 
2022, 7 ,צרפת,879079.4252,162914.6, 5.40 
2022, 8 ,איטליה,203524.2162,21168, 9.61 
2022, 8 ,ארגנטינה,1704343.525,256788, 6.64 
2022, 8 ,ארצות הברית,1949146.659,282704, 6.89 
2022, 8 ,ספרד,258276.4054,63504, 4.07 
2022, 9 ,איטליה,238747.1453,52416, 4.55 
2022, 9 ,ארגנטינה,2073793.575,301291.2, 6.88 
2022, 9 ,ארצות הברית,132947.8817,12005, 11.07 
2022, 9 ,צרפת,1210605.478,255406.2, 4.74 
2023, 1 ,איטליה,6059204.353,1452176, 4.17 
2023, 1 ,ארצות הברית,6877706.279,1021051, 6.74 
2023, 1 ,הולנד,110680.5449,17576, 6.30 
2023, 1 ,הונגריה,102706.8914,34902, 2.94 
2023, 1 ,טורקיה,183815.1403,55950, 3.29 
2023, 1 ,יוון,584013.5761,164554, 3.55 
2023, 1 ,מולדובה,30856.2372,11293, 2.73 
2023, 1 ,ספרד,857176.996,187868.4, 4.56 
2023, 1 ,צרפת,2707434.798,385117.634, 7.03 
2023, 10 ,איטליה,2841294.807,658368, 4.32 
2023, 10 ,ארגנטינה,2647736.443,425433.2, 6.22 
2023, 10 ,ארצות הברית,1073027.339,139944, 7.67 
2023, 10 ,טורקיה,409856.0783,136430, 3.00 
2023, 10 ,יוון,117599.0842,36809, 3.19 
2023, 10 ,ספרד,505266.6494,144164, 3.50 
2023, 10 ,צרפת,929851.5973,233083.2, 3.99 
2023, 11 ,איטליה,3775466.088,853085.5, 4.43 
2023, 11 ,ארצות הברית,1194838.111,157944, 7.56 
2023, 11 ,הולנד,97960.0633,17576, 5.57 
2023, 11 ,הונגריה,52393.9753,18522, 2.83 
2023, 11 ,טורקיה,237763.3148,65170, 3.65 
2023, 11 ,יוון,220105.6524,63211, 3.48 
2023, 11 ,ספרד,1138326.793,314599, 3.62 
2023, 11 ,צרפת,2530094.309,512343, 4.94 
2023, 12 ,איטליה,5663345.806,1331599, 4.25 
2023, 12 ,ארצות הברית,2198616.197,359180, 6.12 
2023, 12 ,הולנד,196957.8493,35152, 5.60 
2023, 12 ,הונגריה,102992.7592,37044, 2.78 
2023, 12 ,טורקיה,455784.2901,157138, 2.90 
2023, 12 ,יוון,226250.4103,63310, 3.57 
2023, 12 ,ספרד,2055085.63,552860, 3.72 
2023, 12 ,צרפת,3729084.671,667075, 5.59 
2023, 2 ,אוקראינה,35931.3878,23953, 1.50 
2023, 2 ,איטליה,6153128.002,1512486.5, 4.07 
2023, 2 ,ארצות הברית,5636656.701,912140.007, 6.18 
2023, 2 ,הונגריה,157598.6768,55566, 2.84 
2023, 2 ,טורקיה,776253.9061,232525, 3.34 
2023, 2 ,יוון,406109.9077,124840, 3.25 
2023, 2 ,ספרד,604455.308,105588, 5.72 
2023, 2 ,צרפת,2246017.503,365209.6, 6.15 
2023, 3 ,איטליה,7188060.184,1879464.5, 3.82 
2023, 3 ,ארצות הברית,7121259.623,1071612, 6.65 
2023, 3 ,דרום אפריקה,172558.8221,16200, 10.65 
2023, 3 ,הולנד,107339.8179,17576, 6.11 
2023, 3 ,הונגריה,96379.3396,37044, 2.60 
2023, 3 ,טורקיה,289820.0113,92344, 3.14 
2023, 3 ,יוון,242214.3816,73446.25, 3.30 
2023, 3 ,ספרד,1119048.837,257744, 4.34 
2023, 3 ,צרפת,6296030.872,861667.8, 7.31 
2023, 4 ,איטליה,5907823.156,1499995, 3.94 
2023, 4 ,ארגנטינה,832712.5186,149940, 5.55 
2023, 4 ,ארצות הברית,9392990.303,1355318, 6.93 
2023, 4 ,בלגיה,105579.4936,17576, 6.01 
2023, 4 ,הולנד,105398.5001,17576, 6.00 
2023, 4 ,טורקיה,104792.7091,37700, 2.78 
2023, 4 ,יוון,157767.2734,40296, 3.92 
2023, 4 ,ספרד,1325653.496,302375.2, 4.38 
2023, 4 ,צרפת,5242699.694,749382.3, 7.00 
2023, 5 ,איטליה,3270212.481,824332, 3.97 
2023, 5 ,ארגנטינה,758736.1668,138985.6, 5.46 
2023, 5 ,ארצות הברית,5722803.153,827338, 6.92 
2023, 5 ,יוון,193224.9219,53709, 3.60 
2023, 5 ,ספרד,963630.5521,223930.4, 4.30 
2023, 5 ,צרפת,1064796.632,141403.4, 7.53 
2023, 6 ,איטליה,2740534.126,675411, 4.06 
2023, 6 ,ארגנטינה,484594.3091,86082.4, 5.63 
2023, 6 ,ארצות הברית,5420056.71,770721.5, 7.03 
2023, 6 ,יוון,296006.389,78772, 3.76 
2023, 6 ,ספרד,632961.7436,158156, 4.00 
2023, 7 ,איטליה,1315558.141,356328, 3.69 
2023, 7 ,ארגנטינה,2136231.387,320745.6, 6.66 
2023, 7 ,ארצות הברית,2055252.748,316646, 6.49 
2023, 7 ,יוון,335174.4614,92059, 3.64 
2023, 7 ,ספרד,1073446.063,290964, 3.69 
2023, 8 ,איטליה,801901.7281,271656, 2.95 
2023, 8 ,ארגנטינה,3342841.693,534486, 6.25 
2023, 8 ,ארצות הברית,1353881.718,182888, 7.40 
2023, 8 ,יוון,672976.8474,168471.65, 3.99 
2023, 8 ,ספרד,136921.7797,41865.6, 3.27 
2023, 8 ,צרפת,78326.5886,21168, 3.70 
2023, 9 ,איטליה,1182777.856,287602, 4.11 
2023, 9 ,ארגנטינה,1841244.847,309685.2, 5.95 
2023, 9 ,ארצות הברית,1239389.376,157437, 7.87 
2023, 9 ,הונגריה,113500.4258,37044, 3.06 
2023, 9 ,טורקיה,434710.4817,133152, 3.26 
2023, 9 ,יוון,651032.7453,168933.5, 3.85 
2023, 9 ,ספרד,569274.3806,143732, 3.96 
2023, 9 ,צרפת,537735.9485,127478, 4.22 
2024, 1 ,איטליה,5106031.253,1208836, 4.22 
2024, 1 ,ארצות הברית,9596502.479,1466588, 6.54 
2024, 1 ,הולנד,213913.2556,38197, 5.60 
2024, 1 ,טורקיה,85732.319,22400, 3.83 
2024, 1 ,יוון,360095.8234,98951, 3.64 
2024, 1 ,ספרד,1050847.885,293742.8, 3.58 
2024, 1 ,צרפת,1865257.353,383938.8, 4.86 
2024, 1 ,קנדה,186182.2989,36288, 5.13 
2024, 2 ,איטליה,5577928.233,1307468.5, 4.27 
2024, 2 ,ארצות הברית,5747955.497,935129, 6.15 
2024, 2 ,הולנד,114336.6031,20736, 5.51 
2024, 2 ,טורקיה,947437.4783,268380, 3.53 
2024, 2 ,יוון,296739.2687,80632, 3.68 
2024, 2 ,ספרד,1164892.109,320153.8, 3.64 
2024, 2 ,צרפת,1626463.49,369046, 4.41 
2024, 2 ,קנדה,654288.7727,129444, 5.05 
2024, 3 ,איטליה,6156994.394,1496039, 4.12 
2024, 3 ,ארצות הברית,12234620.68,1862051, 6.57 
2024, 3 ,הולנד,481594.4176,93600, 5.15 
2024, 3 ,טורקיה,808797.7802,243412, 3.32 
2024, 3 ,יוון,251570.9101,62954, 4.00 
2024, 3 ,ספרד,1827213.808,376292.2, 4.86 
2024, 3 ,צרפת,3934948.871,777461.2, 5.06 
2024, 3 ,קנדה,994099.9467,198850, 5.00 
2024, 4 ,איטליה,4137326.556,989019, 4.18 
2024, 4 ,ארגנטינה,1058314.585,192792, 5.49 
2024, 4 ,ארצות הברית,13316778.54,2002109.5, 6.65 
2024, 4 ,הולנד,427740.3124,82944, 5.16 
2024, 4 ,טורקיה,889224.8564,281420, 3.16 
2024, 4 ,יוון,852173.4179,210252, 4.05 
2024, 4 ,ספרד,1539313.268,373392.2, 4.12 
2024, 4 ,פולין,73666.0848,20736, 3.55 
2024, 4 ,פורטוגל,141412.6783,42336, 3.34 
2024, 4 ,צרפת,2434102.203,552474, 4.41 
2024, 4 ,קנדה,1134109.919,218016, 5.20 
2024, 5 ,איטליה,4806977.706,1132095, 4.25 
2024, 5 ,ארגנטינה,1051452.097,213796.8, 4.92 
2024, 5 ,ארצות הברית,8657715.613,1450649, 5.97 
2024, 5 ,הולנד,343793.0137,62208, 5.53 
2024, 5 ,טורקיה,2086758.468,581203, 3.59 
2024, 5 ,יוון,611097.9034,147062, 4.16 
2024, 5 ,ספרד,2951577.943,804903.2, 3.67 
2024, 5 ,צרפת,1290526.672,312816, 4.13 
2024, 5 ,קנדה,455395.4579,96786, 4.71 
2024, 6 ,איטליה,1237760.972,298902, 4.14 
2024, 6 ,ארגנטינה,1111180.855,195269, 5.69 
2024, 6 ,ארצות הברית,10701729.02,1905094, 5.62 
2024, 6 ,הולנד,117914.1698,20736, 5.69 
2024, 6 ,טורקיה,1606473.589,370575, 4.34 
2024, 6 ,יוון,348340.7981,84483, 4.12 
2024, 6 ,ספרד,2304840.035,591389.3, 3.90 
2024, 6 ,פולין,78826.9117,20736, 3.80 
2024, 6 ,צרפת,1542333.894,392111.4, 3.93 
2024, 6 ,קנדה,235812.7793,61740, 3.82 
2024, 7 ,איטליה,2162581.012,471744, 4.58 
2024, 7 ,ארגנטינה,851625.201,149177, 5.71 
2024, 7 ,ארצות הברית,10152645.88,1844610, 5.50 
2024, 7 ,טורקיה,722829.6529,132560, 5.45 
2024, 7 ,יוון,81831.5605,14805, 5.53 
2024, 7 ,ספרד,1434502.529,352759, 4.07 
2024, 7 ,פורטוגל,84184.7238,21168, 3.98 
2024, 7 ,צרפת,1427883.194,347625.6, 4.11 
2024, 7 ,קנדה,299676.4026,55566, 5.39 
2024, 8 ,איטליה,1317841.798,285936, 4.61 
2024, 8 ,ארגנטינה,2407961.987,425328.4, 5.66 
2024, 8 ,ארצות הברית,3067846.691,522158.5, 5.88 
2024, 8 ,ספרד,415315.9911,105948, 3.92 
2024, 8 ,צרפת,1085418.797,247265, 4.39 
2024, 9 ,איטליה,1028175.136,203652, 5.05 
2024, 9 ,ארגנטינה,1863181.905,336462, 5.54 
2024, 9 ,ארצות הברית,3237051.933,472629, 6.85 
2024, 9 ,צרפת,1153216.952,268761, 4.29 
2024, 10 ,איטליה,3252438.043,748837.6, 4.34 
2024, 10 ,ארגנטינה,2140306.365,340605.6, 6.28 
2024, 10 ,ארצות הברית,2954252.016,437325, 6.76 
2024, 10 ,טורקיה,57088.0806,17035, 3.35 
2024, 10 ,יוון,146253.8899,37021, 3.95 
2024, 10 ,ספרד,155520.1137,33891, 4.59 
2024, 10 ,צרפת,1223644.023,272416, 4.49 
2024, 11 ,איטליה,10049503.25,2270651, 4.43 
2024, 11 ,ארגנטינה,283604.398,63860.6, 4.44 
2024, 11 ,ארצות הברית,715320.4454,104958, 6.82 
2024, 11 ,הולנד,118112.738,20736, 5.70 
2024, 11 ,טורקיה,350674.8373,108540, 3.23 
2024, 11 ,ספרד,238633.0947,59319, 4.02 
2024, 11 ,צרפת,3132425.461,570519.6, 5.49 
2024, 12 ,איטליה,5441135.787,1150770.5, 4.73 
2024, 12 ,ארצות הברית,1064175.467,181104, 5.88 
2024, 12 ,הולנד,234839.0849,41346, 5.68 
2024, 12 ,טורקיה,429399.6774,128880, 3.33 
2024, 12 ,יוון,222174.8204,61433, 3.62 
2024, 12 ,ספרד,534579.4183,103649, 5.16 
2024, 12 ,פולין,62342.781,18294, 3.41 
2024, 12 ,צרפת,6349408.233,909238.8, 6.98 
2024, 12 ,קנדה,450392.8269,97930, 4.60 
,,,,,
